subject,domain,word,SIDNO
387,ANIMALS,Lobster,24
387,ANIMALS,Crab,24
387,ANIMALS,Chicken,24
387,ANIMALS,Cow,24
387,ANIMALS,Turkey,24
387,ANIMALS,Horse,24
387,ANIMALS,Horse,24
387,ANIMALS,Hen,24
387,ANIMALS,Rooster,24
387,ANIMALS,Mice,24
387,ANIMALS,Chipmunks,24
387,ANIMALS,Scorpion,24
387,ANIMALS,Ant,24
388,ANIMALS,Dog,25
388,ANIMALS,Cat,25
388,ANIMALS,Lion,25
388,ANIMALS,Bear,25
388,ANIMALS,Ant,25
388,ANIMALS,Spider,25
388,ANIMALS,Rabbit,25
388,ANIMALS,Moose,25
388,ANIMALS,Mongoose,25
388,ANIMALS,Antelope,25
388,ANIMALS,Canary,25
388,ANIMALS,Pelican,25
388,ANIMALS,Crow,25
388,ANIMALS,Seagull,25
388,ANIMALS,Coyote,25
388,ANIMALS,Otter,25
388,ANIMALS,Snake,25
388,ANIMALS,Ladybug,25
388,ANIMALS,Whale,25
388,ANIMALS,Fish,25
388,ANIMALS,Dolphin,25
388,ANIMALS,Jellyfish,25
388,ANIMALS,Giraffe,25
388,ANIMALS,Elephant,25
388,ANIMALS,Cheetah,25
388,ANIMALS,Mouse,25
388,ANIMALS,Tiger,25
388,ANIMALS,Liger,25
388,ANIMALS,Monkey,25
388,ANIMALS,Sloth,25
388,ANIMALS,Gorilla,25
388,ANIMALS,Ape,25
388,ANIMALS,Skunk,25
388,ANIMALS,Deer,25
388,ANIMALS,Turtle,25
388,ANIMALS,Squirrel,25
388,ANIMALS,Chipmunk,25
388,ANIMALS,Horse,25
388,ANIMALS,Pony,25
388,ANIMALS,Parrot,25
389,ANIMALS,Dog,26
389,ANIMALS,Cat,26
389,ANIMALS,Bird,26
389,ANIMALS,Fish,26
389,ANIMALS,Tiger,26
389,ANIMALS,Lion,26
389,ANIMALS,Giraffe,26
389,ANIMALS,Elk,26
389,ANIMALS,Caribou,26
389,ANIMALS,Seal,26
389,ANIMALS,Polar Bear,26
389,ANIMALS,Whale,26
389,ANIMALS,Shark,26
389,ANIMALS,Brine Shrimp,26
389,ANIMALS,Shrimp,26
389,ANIMALS,Lobster,26
389,ANIMALS,Crab,26
389,ANIMALS,Octopus,26
389,ANIMALS,Squid,26
389,ANIMALS,Barracuda,26
389,ANIMALS,Sea Horse,26
389,ANIMALS,Dolphin,26
389,ANIMALS,Porpoise,26
389,ANIMALS,Tuna,26
389,ANIMALS,Salmon,26
389,ANIMALS,Sea Bass,26
389,ANIMALS,Trout,26
389,ANIMALS,Tilapia,26
389,ANIMALS,Wolf,26
389,ANIMALS,Panther,26
389,ANIMALS,Jaguar,26
389,ANIMALS,Leopard,26
389,ANIMALS,Cheetah,26
389,ANIMALS,Elephant,26
389,ANIMALS,Camel,26
389,ANIMALS,Rhinoceros,26
