Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
653e8278fee9581b2052dddf,5af5a6464cca7000010c5c6a,APPROVED,2023-10-29T16:04:15.202000Z,2023-10-29T16:45:22.457000Z,2023-10-29T16:45:23.015000Z,2023-10-29T16:45:22.937447Z,2468.0,CQEHJXIE,717,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
653e82eb3200016278d74607,627e6cf2aae07746fe02180d,APPROVED,2023-10-29T16:06:12.684000Z,2023-10-29T17:11:46.886000Z,2023-10-29T17:11:47.526000Z,2023-10-29T17:11:47.439580Z,3935.0,CQEHJXIE,446,33,Female,Mixed,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
653e831a42040ed3b92860ec,5f4839443d0cb52ec017448e,APPROVED,2023-10-29T16:06:53.561000Z,2023-10-29T16:49:44.853000Z,2023-10-29T16:49:45.450000Z,2023-10-29T16:49:45.378052Z,2572.0,CQEHJXIE,424,29,Female,Black,Nigeria,United Kingdom,Nigeria,English,DATA_EXPIRED,DATA_EXPIRED
653e832b7f548d992dd890df,645a178964bdf1b4de1fc79f,APPROVED,2023-10-29T16:07:13.772000Z,2023-10-29T16:48:01.895000Z,2023-10-29T16:48:02.463000Z,2023-10-29T16:48:02.392208Z,2449.0,CQEHJXIE,325,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
653e83317b8ba773db5e583d,5e5a5acf6e2c132450657b91,APPROVED,2023-10-29T16:07:17.085000Z,2023-10-29T16:43:59.274000Z,2023-10-29T16:43:59.854000Z,2023-10-29T16:43:59.777414Z,2203.0,CQEHJXIE,254,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
653e8346c656e6b23a11f50a,653e7cda114b6a662357f026,APPROVED,2023-10-29T16:07:56.978000Z,2023-10-29T16:57:40.307000Z,2023-10-29T16:57:40.975000Z,2023-10-29T16:57:40.865177Z,2984.0,CQEHJXIE,0,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
653e835664c5fb9092a9b0f2,63e5614a5e100cf1fa348a81,APPROVED,2023-10-29T16:07:55.268000Z,2023-10-29T16:45:45.726000Z,2023-10-29T16:45:46.476000Z,2023-10-29T16:45:46.389500Z,2271.0,CQEHJXIE,555,DATA_EXPIRED,Female,White,DATA_EXPIRED,United States,United States,English,DATA_EXPIRED,Part-Time
653e83b588833bcd9ac72358,59d4e426c618a50001cf5cab,APPROVED,2023-10-29T16:09:25.531000Z,2023-10-29T16:54:44.498000Z,2023-10-29T16:54:45.076000Z,2023-10-29T16:54:44.994575Z,2719.0,CQEHJXIE,695,73,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
653e83b9d37d6c92ea046682,60a142ecc64d11f4ed537cb5,APPROVED,2023-10-29T16:09:29.746000Z,2023-10-29T16:55:22.290000Z,2023-10-29T16:55:22.871000Z,2023-10-29T16:55:22.800492Z,2753.0,CQEHJXIE,439,21,Female,Black,Nigeria,Hungary,Nigeria,English,Yes,Unemployed (and job seeking)
653e83c188833bcd9ac7235b,652018bb1774902a29991283,AWAITING REVIEW,2023-10-29T16:09:43.123000Z,2023-10-29T16:32:02.498000Z,,2023-10-29T16:32:03.015673Z,1340.0,NOCODE,17,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
653e931b5f17b2c02e0f9a24,632ceafce1ba9fd51c9de424,APPROVED,2023-10-29T17:15:29.853000Z,2023-10-29T17:54:21.686000Z,2023-10-29T17:54:23.554000Z,2023-10-29T17:54:22.294242Z,2332.0,CQEHJXIE,500,66,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64835915e15c62b46b5e6435,5e5ec6ca7171820988fda04b,TIMED-OUT,2023-06-09T16:53:44.988000Z,,,,12279868.0,,159,41,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
6483598569c2dca469c927f8,60422e525042bc0615f57583,RETURNED,2023-06-09T16:55:42.121000Z,2023-06-09T17:50:58.527000Z,,2023-06-09T17:51:45.423000Z,,CK95X1BS,241,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
